id,proverb,query_narrative,first_choice,second_choice,distractor_similarity,analogy_level,correct_answer
769,Put your best foot forward,I remember how hard our life before and even now. I have to work and school at the same time but I was able to finished my studies and achieved some of my dreams in life. The personal goal that I had to be satisfied doing anything I wanted to touch was to prepare extremely well for it and see what will be the outcome. This was making me do everything as perfect as possible.,"Somehow I thought that having turned fourty a few weeks back, I was past correction. Most of my ideas and views had crystallized into habits. If there was anything I wasn't doing, then I probably would never do it. But watching my two-old nephew play with a butterfly, and show me how many wings it has, something I had never bothered to check, makes me wonder if I am as knowledgeable as I thought I am.","A young dancer was trying her hardest to win the dance contest.  As she practiced every day, she noticed she would trip when she started with her left foot.  Wanting to help her to be in her best shape for the contest, her dance partner said she should always start with her right foot! The day of the contest arrived, and the dancer and her partner won the contest!",low,far,2
770,Too many cooks spoil the broth,"Bob designed a well-organized project management spreadsheet and loaded it to SharePoint for the other project managers to take a look at. Jack changed the formulas in the costing section. Rachel redesigned the charts. Tom hid several columns. Charlie reformatted cells. When Bob looked at the spreadsheet again, it was unusable.","The man helped his friend with some statistics homework. The friend was struggling with some elementary problems. The man's friend subsequently helped the man with his combinatorics homework. It would seem that statistics and combinatorics are so similar in mathematical concepts that the help would be extended only in one direction, but they could help each other knowing some of the concepts from the other discipline.","Marsha was cooking dinner for the night.  She seasoned the food and left the room.  Her husband walked into the kitchen and saw the food on the stove.  He tasted it and added salt.  When Marsha walked back into the room, she remembered that she forgot to season the food, so she added salt.  The food was too salty and they had to order pizza that night.",low,far,2
771,Necessity is the mother of invention,"while fishing remotely, I hooked a beast. saw the splash in the water. Unfortunately, I was not holding my fishing rod at the time, I was eating. Long story short, lost the fishing rod and reel. Made a make shift one out of a shower rod my wife had bought. ended up hooking the fishing rod I lost the next day, with the beast still on the end!!!!","Marvin trained his dogs poorly.  They couldn't eat by themselves, go out without supervision and essentially nothing more than running around. Marin was a duck hunter who would take his dogs with him.  When he shot a duck, he would yell fetch and the dogs would go find the duck, no matter how deep the woods or how thick the underbrush.  They'd retrieve the duck and bring it to Marvin.","In a secluded forest, a fierce and untamed beast roamed freely, instilling fear in the hearts of the nearby villagers. As their lives became more endangered each day, they devised a plan to protect themselves and their loved ones. With limited resources, they crafted ingenious make shift weapons and traps, unveiling their hidden talents and resilience. These simple tools became their shield, althought they never thought they would make such things, the beast made them think about the tools and the development of even more advanced warfare.",low,near,2
772,Nothing new under the sun,"He was happy to leave his the to put the finishing touches on his newest research paper.  As it was sent to the journal for publishing, he found out that someone had published the same results years earlier, and it was challening task to come up with something more novel that the thing that he already had. ","In the world of publishing, where countless research papers are churned out daily, it is difficult to come across something truly groundbreaking. However, every now and then, a paper emerges that promises to unveil a revolutionary idea. But as experienced researchers know all too well, these supposed revelations often turn out to be nothing more than an echo of previously established knowledge.","When I arrived home, there was a somber mood. My grandfather, who'd lived with bipolar disorder for most of his life, had been taken ill. Unsure of what to do, I read out the speech of the former First Lady, especially where she had plagiarized Michelle Obama's speech. My grandfather looked up, his eyes lighting with fascination. A first lady is a plagiarist? he asked warily. Yes, I replied. The somber mood in the room dissipated like dew as we all wondered loudly, and mirthfully, how that was possible.",low,near,1
773,You can't hold with the hare and run with the hounds,"One day at school Mark and Frank started fighting over who was the more attractive between the two of them. As the argument escalated Sue got between them to try and smoothing things over. However, every time Sue agreed with Mark it made Frank mad and every time she agreed with Frank it made Mark mad. Finally Sue told them there was nothing that would make them both happy and she walked off.","The popular girls at school decided that they hated her, and so everyone else did too. Most of the people who used to hang around her now avoided her. There was only one person who would still be seen with her. Those two have stuck together to this day.","Point Roberts was a rare U.S. enclave within Canada.  Most of its residents were Canadians who enjoyed the cheap housing and cheap gas there.  When the centuries-old Point Roberts territorial dispute flared up again, the residents joined protests to support Canadian national sovereignty.  They also joined protests to keep the enclave in the U.S. to help preserve their access to cheap gas.  But when the dispute escalated to a near-war, all two-faced protesters were identified by video footage and arrested for treason.",high,far,2
774,A friend in need is a friend indeed,"My friend an neighbor recently lost his dog. He was so depressed and honest about his feelings. Although some people left him alone, some others tried to help him overcome them pain. He was so grateful for company to help distract him from his grief.","In a small neighborhood, a man named John was drowning in his sorrow after a devastating loss. Next door, his kind-hearted neighbors, Sarah and Mike, noticed his distress and quickly decided to step in and help. With genuine compassion, they organized a surprise gathering with other neighborhood residents, aiming to divert John's attention and bring some joy into his life. Their efforts were not in vain, as John soon realized that in his time of need, true friends were found from those who were not his friends once.","One day a homeowner was performing regular maintenance of his property. He paid attention to every aspect of the place - from the garden to the facade of the house. He maintained it as a sense of pride and personal fastidiousness. On one fine day, he looked up to gaze upon his house wherein the distance he spotted a neighbour's house. He saw with some envy that his neighbour's house appeared more pristine than he could ever hope to attain with his.",high,near,1
775,Do unto others as you would have them do to you,"When Joe was in elementary school he was bullied often by the other kids. By the time he got to high school though he had made a few friends. Because he knew what it was like to be alone and have no one standing up for you he would often look for other students alone and go out of his way to make them feel included. If he ever noticed someone being bullied he would step in and try to stop it. Even though he did have friends now, he hoped that if he ever found himself alone someone else would do the same thing for him.","Henry had always been a kind and quiet kid. Even though he would never hurt a fly, Conner, a bigger boy, picked on him. Conner called him names and made sure to kick him everytime Henry passed by. Henry's mother found out he was being bullied and asked Henry how it made him feel. He told his mom that Conner was bullied by an even bigger kid, Ryan, and that Conner didn't know any better. Henry was quick to defend Conner by saying that he was just an innocent victim, too.","in a  educational institution, Sarah, a tormented student, was continually harassed by her classmates. Determined to prevent bullying and stop this thing happening to other people as well as herself, she took action by including others who were often left out. Gradually, kindness and acceptance began to spread, and the once hostile environment transformed into a supportive and inclusive place.",high,near,2
776,All's well that ends well,"He dreaded having to tell his friend about not being able to meet him in town, but his friend cancelled at the last minute anyway, and it ended exactly as he wantd it to end.","One of my best friend was always wanted to be rich through short cuts and he failed badly many times. I advised him that success doesn't come without struggle and hard work. Once you  start working hard, be consistent and passionate, I am sure one day you will achieve your goals. He followed my guidelines and after couple of years hard work and struggle he became successful.","Buddy and his pals planned an adventurous road trip, but as they hit the road, things started to go wrong - the car broke down, they got lost in a remote area, and they encountered bad weather. However, their determination and teamwork pulled them through, and they eventually reached their destination safely. Despite the initial setbacks, they ended the trip pretty well and with a huge success.",low,near,2
777,Virtue is its own reward,"The boy accidentally hit a baseball through his old neighbor's window. The boy confessed to the act to the old lady. The woman wanted to encourage the boy to continue to be honest in the future and gave him some tasty snacks. After the boy got home, his father confiscated the snacks and told the boy that telling the truth was a gift in itself. The father ate the snacks in private.","In a small dwelling, an elderly resident fostered virtue by setting an important goal for his grandson: to sustain honesty. The boy, wanting to impress his kin, began a journey of self-reflection and growth, admitting his mistakes and taking responsibility for his actions. As time passed, the boy realized that the joy and fulfillment he felt from being truthful and upright were rewards in themselves, leading him to embrace a life of integrity.","Andy was in trouble and got a teachers note to take home, despite getting an A on his test that day. Samantha overheard Andy's trouble and told her friend June. June told Helen, a fellow choir member who was friend's with Andy's mother and Helen decided to inform her friend of Andy's bad behavior. Andy was surprised when he got home that his mother, and half the town, knew about the note but no one knew about his great test score.",high,near,1
778,Lightning never strikes twice in the same place,A person is dealing with a complex finance deal in his company. The deal has never really come up before in the company as the deal is very unique and complex. The management team is very surprised at this deal and think that it will never happen agin in the industry.,"He prided himself on being a good person. Because of this, he was well-liked and trusted. His popularity led to great opportunities, one after another, until he became CEO of the world's most powerful company. Before long, he started cutting corners here and there, first due to pressure from competitors, then just because he could. This led to more success and soon he was taking every shady shortcut and working every illegal angle possible. There was no one to stop him so he went far -- and wound up far different from the honest person he used to be.","Once upon a time, in the bustling city of Wall Street, there was a prestigious financial firm called Silverstone Investments. Within the elegant halls of this business powerhouse, its agents tirelessly worked day and night, striking a lucrative financial agreement with a client hailing from all corners of the globe. However, they didn't know what was wrong with the company that once they started growing the company there was no other client that would be willing to do business with them and apparently that was the only company that was eager enough to work with Silverstone investments.",low,near,2
779,There's no fool like an old fool,"Two old friends decided to invest their savings in the stock market. One wanted to get rich quick and chose a risky stock; while the other was prudent. The one who picked the risky stock lost his savings. Many years ago, both friends had came across the same situation. Like this time, the impetuous one had repeated the same action and picked a risky stock to the same effect. Now that they were doing the same thing, the prudent one was wondering and asking the other one if he wants to change his mind but he was so old to changee any of his traits.","Harry moved into an assisted living facility.  He met Anna, who also lived in the facility.  They fell madly in love and could be seen walking the halls with their walkers holding hands and loving each other's company. This was odd for all the staff and also for their relatives and children but they couldn't do anything about it since they were just old and they could do anything they wanted to. ",The man had invested in a speculative stock. He saw the price of the shares rise and felt like a rich man. The man spent a lot of money vacationing that year and went over his budget. The stock crashed and then the man could not meet his goals for saving money that year.,low,far,1
780,It's no use crying over spilt milk,I had to give a presentation in school today.  I was not as prepared as I should have been.  My hands were shaking and I know that I was talking too fast.  I was upset all day by my horrible performance.  I need to just stop thinking about it because it is too late to do anything about it now.,"my whole youth I smoked a lot of pot. less and less as I got older. More and more pessimistic I became at the world. I found smoking once a week on Friday night not only gave me something to look forward to, but brought me peace.","There was a powerful storm one night on the farm. Pa took us down into the cellar and just about that time it sounded like a train roared past or house. After we came out of the cellar we saw the whole farm leveled to the ground. And there as Pa, picking up the piece of his shattered home telling us there's nothing we can do about about the storm so we might as well start rebuilding the house.",low,far,2
781,It takes two to tango,"Bob and Allan were often competing for the same girlfriend. Although there were many other girls they could have dated, they always went after the same girl to date. Their friends encouraged them both to widen their circle, but they both refused to do so.","Bob and Tom quarreled over a girlfriend when they were in high school. Eventually, they became friends again. Many years later, although they were sorry afterward, they both fell for the same girl again, but knowing how it will end miserably, one of them retreated and didn't continue his feelings to avoid the conflict he knew he would happen otherwise. ","Two best friends, Alex and Ben, both fell madly in love with the same girl, Emma. They made a pact with each other to simultaneously pursue her and see who would win her heart. As the days turned into weeks and the weeks into months, their dedication to the pursuit of Emma caused both of them to reject broader social connections and focus solely on winning her over. Eventually, after much competition and soul-searching, the truth became clear: none of them was any more successful than the other since she wasn't noticing them at all.",high,near,2
782,Charity begins at home,"Mark and Ginny went to the same school. Each day, before walking to school, Ginny's mother packed an extra sandwich, just in case she ever saw anyone in need. If she did, she gave them the sandwich. One day at school, Mark realized he forgot his lunch at home. Ginny saw how hungry he looked, and inspired by her mom, shared half her sandwich with Mark.","I think its important in the stimulus bill to provide money for the american people, and not just the people of other countries. We are a beacon of hope for a reason","The girl had heard the rumors that were circulating around the school about her best friend. She always chose not to believe them. But lately, her gut instinct told her different and she couldn't help but wonder if what they were saying held atleast a little truth. Afterall, how could a rumor get started if it wasn't partly true?",high,far,1
783,Familiarity breeds contempt,"My cousin always wanted to visit India to see Taj Mahal. He always used to mention and discuss about Taj Mahal to everyone in family and also with friends. However, he stopped discussing about the Taj Mahal after he visited couple of times in India to see Taj Mahal. It looks like his interest faded after seeing Taj Mahal.",Dave got a flyer in the mail.  It said that he had a free weekend at a resort.  All he had to do was check in the meeting room at the resort.  Dave was excited.  He drove down and stood in line waiting to check in.  Dave was ushered into a room with other people waiting and sitting around.  A presentation started.  They wanted Dave to be an investor on rental properties!  Dave's whole weekend at the resort was taken up by long meetings for exchange for his stay.  He didn't have any time to enjoy his stay and had to pay for the gas to get there!,"Once upon a time, there was a young traveler who decided to visit a small village surrounded by lush green fields. Intrigued by the stories circulating about the village's peculiar customs and traditions, the traveler quickly developed a keen interest in exploring further. However, as the days turned into weeks and then months, the traveler became familiar with every corner of the village, gradually unveiling its flaws and shortcomings, ultimately leading to a growing disdain that tainted the initial fascination.",low,near,2
784,Nothing new under the sun,Jason was learning a song on guitar when he realized the chords were the same as the last song he played. He started listening to some other songs and noticed many of them had the same chord progression. He looked online and found 50 more songs with the same chord progression. Jason decided this was because there were only so many chords you can play on guitar.,Marcia wanted a rock band for her wedding.  Her mother wanted gospel music.  Her dad wanted country.  The groom wanted jazz.  Marcia wondered how all the people she loved could have such different preferences.  She hired a band that could play a mix of music so everyone could have a bit of what they wanted.,"In a small town, there was a talented guitarist named Jake who strived to write unique and original songs. Every day, he would play tirelessly on his guitar, trying to create something extraordinary, but every time he thought he had found a new melody, someone would point out that it sounded similar to an existing hit. ",low,near,2
785,Practice what you preach,"John's boss Carl insisted that all employees keep their cameras on during virtual meetings, but Carl never turned his own camera on. Most staff had enjoyed working for him before, but Carl's hypocritical rule became a major source of disgruntlement. Over time, John and his coworkers became less engaged in their work, only putting in minimal effort.","My children started drinking because I also have one for the road some time. I had cautioned them against the habit, telling them of the consequences of drinking. But that did not seem to wash with them as they wanted to emulate me. One evening I sat them down and told them that I was not the best example for them to emulate, but I knew a few truths here and there even if I did not apply them to my life.","For years, a young lady who works as an office clerk has been noticing that her company's prices aren't fair. Finally, she decided to do something about it, so she decided to talk to some of the important people in the company in a reasonable way to change the approach of the company instead of getting aggressive and do similar things as others like embezzling money.",low,far,1
786,A cat may look at a king,"Tim had just turned five years old and was the happiest kid you'd have ever met. That was until Alec, his little brother came along. With every passing day Alec got more and more attention, more love, more toys, and he rubbed Tim's face in it. That was until one day Tim had enough and told Alec that just because he was Mom and Dad's new favorite child that it didn't mean he no longer mattered.","The man worked as a day laborer in a factory. It was hard work with low pay.  There was no retirement plan. The man went to school and learned a trade.  He graduated with a certificate, some skill and a fair bit of knowledge. Soon he had a good job, and was able to save for his own future.","In a world where feline dreams knew no bounds, Fluffy, a ginger tabby, yearned to be acknowledged and adored by his parents. Every day, he fascinatingly observed their every move, hoping one day they would see his intelligence and grace. Little did he know, his silent admiration would eventually captivate their hearts, proving that even a simple cat could earn recognition in the eyes of royalty.",low,near,2
787,Ignorance is bliss,Every time I watch news channels I get stressed as most of the news channels have negative information. One of my friend suggested me to limit watching news as sometime not knowing about this stuff is better for peace of mind.,"Sue's marriage was not going well. She would often talk to her husband about it, and tell him all of the things he was doing wrong. She told him that he always worked late, and he was always going out with his friends. He was never home. He reminded her that when he is home, she doesn't want to spend time with him. She just wants to watch her television programs, and never wants to be interrupted. She realized that she was to blame for the problems as well.","in a  city, a stressed man found himself overwhelmed by the constant bombardment of news channels. The relentless updates on global crises and never-ending conflicts only added to his anxiety. Seeking solace, he disconnected from the chaotic world, choosing to live in complete oblivious of the outside chaos, finding peace within himself.",low,near,2
788,Life begins at forty,"He had been dreading his birthday for many months and had been trying to pretend that he was not about to hit this fearsome milestone. On the day of his birthday, however, he was pleasantly surprised to get a phone call from his company. He had been given a surprise promotion and was now the deputy in charge of his company! Suddenly, things seemed to be moving for him in a way they never had before.",John's competitor was spreading false rumours about his company's product. John told his staff not to mind too much and instead put a press release highlighting their product and clarifying the doubts. He mentioned the fake rumours were a blessing and it brought them into limelight without any efforts and now they could market their product in a large scale and it would reach a lot more people.,"When my last child left home, I felt a bit sad.  For my first eighteen years, my parents took care of me.  Then for the next decade, my husband took care of me.  When he died, I finished raising the children on my own for ten years.  Suddenly I realized I was on my own and could do whatever I wanted.  I felt empowered.",high,far,2
789,Birds of a feather flock together,"The boy was nervous on his first day of school. He sat down near some kids who looked and dressed like him at a lunch table. They began to chat and felt like their interests seem to align as well. They were all interested in puzzle games, movies, comic books and science fiction.","At a bustling educational institution, a group of friends could always be found chatting and conversing with one another in the courtyard during their free time. They naturally gravitated towards each other, forming a tight-knit circle bound by shared interests and values. Their laughter and animated discussions filled the air, attracting others who were drawn to the warmth and familiarity of their bond.","David was a very sociable child, never had much trouble when meeting new people. He was picky about who he would and wouldn't speak to at school. David was lucky it was such a large class with many students. His home life however was limited to just himself and his father. His father was always at work and when home was distant, but it's not like he could just get a new father.",high,near,1
790,Good things come to those that wait,"While everyone was rushing to get the latest iPhone release, Sarah waited a few months until the price dropped.",I was working at a retail store. One day a person came to check out a planter.  He had picked up from the aisle. It did not have the price tag or any identification. Probably it was restocked from the returned object counter. As I was looking around the customer said that the shelf from where he picked up said $7. I knew it would be more expensive than that but I let him have for $7.,"Once upon a time, there was a diligent investor who waited patiently for the perfect moment to buy stocks. After a long period of waiting, the price finally dropped drastically. With unwavering determination, the investor seized the opportunity and made a substantial profit, proving that patience and perseverance indeed lead to success.",low,near,2
791,Hindsight is always twenty-twenty,"Looking at the past decisions, I put too much oil in the fryer and burned the turkey last year, and the year previous to that and also a couple of months ago. That's also true that at those moments I didn't know what I'm doing. ","She was terrified about giving a speech at an upcoming company meeting. Every time she thought about it her heart would start beating fast and her hands would get shaky. She was so stressed that she had trouble completing her other work-related responsibilities. Due to her stress, she avoided working on writing and practicing her speech. When the day came, she was not fully prepared and did not give a good speech.","Once upon a time, a renowned talker with a charming personality captured the attention of everyone he encountered, effortlessly spinning tales of success and prosperity. His speeches were so captivating that people believed every word he uttered, hanging on his every promise. However, as time went on, it became evident that his words were nothing more than empty illusions. But they knew this at the end when the outcome was revieled. so there is no way they had known about it.",low,near,2
792,Laughter is the best medicine,"My friend Maria always looks sad and unhappy that is the reason why she has so many illnesses. Another friend, Juvy she always smiles and looks happy and healthy. We need to stop worrying and be around people that have a good sense of humor because it is beneficial to our health by decreasing stress hormones.","When I arrived home, there was a somber mood. My grandfather, who'd lived with bipolar disorder for most of his life, had been taken ill. Unsure of what to do, I read out the speech of the former First Lady, especially where she had plagiarized Michelle Obama's speech. My grandfather looked up, his eyes lighting with fascination. A first lady is a plagiarist? he asked warily. Yes, I replied. The somber mood in the room dissipated like dew as we all wondered loudly, and mirthfully, how that was possible.","Maria went abroad and she brings something to her friend Jucy a perfume as gift when she's back to her hometown and Jucy still not happy of the gift that Maria gives to her, she wants more than a perfume. Jucy should be content of what Maria gives to her at least Maria is thinking of her. ",high,far,1
793,The end justifies the means,A student has a test coming up and he knows that he is not going to do good on the test because he did not study at all for it. He decides to use a cheating device to get the answers before hand and use those answers to get a good score on the test via cheating. He does not care because he needs to get a good score to pass the class.,"The student prayed that the test would be easy instead of studying properly. The exam was so hard and the result was a failure. For a long time, he was constantly blaming the teacher for the hard test. Instead, he could've studied better for the exam, and changed the outcome. ",She knew that the way that she was going about things was dishonest and her conscience occasionally pricked her about it. She tried to tell herself that at least the problem was being resolved and that everything would work out well with nobody needing to know about her deception.,high,far,2
794,Life's not all beer and skittles,"Beth loved to party. She was 17 and beginning to go to parties with her friends. She loved it so much she thought of nothing else but partying. However, as she got to the age of 25, she realised she had done nothing with her life except party. She began to realise that she needed to do more with her life if she wanted to be fulfilled.","After stopping goals all day, Adrian gets moved from goalie to offense in his soccer game. Adrian runs to the goal and kicks the ball, but misses. A little defeated, he tries again, but fails. Soon after his teammate gets the ball and scores right away. Adrian goes up to his teammate and says you make it look so easy! His teammate replies: it doesn't work this way all the time. sometimes he's also failing badly and sometimes he's good. he can't be all good all the time. ","Amanda lived in a town which was considered very creative and liberal. She wore bright colours and dyed her hair once a month. All of her friends were of a similar style and they were happy to live there. One day, Amanda, who, had never left the town decided to go on a trip by herself. She realised that outside of the town, everyone was different to her and looked her strangely.",high,far,1
795,"First come, first served","In his spare time, he practiced targeted mouse clicking.  This would help in the competitive world of crowdsourced micro work.  When a well-paying task shows up in the  task list, thousands of workers will click on it to try claim it.  Since all claim attempts are process in order of arrival, only the fastest workers to click will succeed in claiming a task.","In the tiny town of Brookville, a bustling market was held every Sunday. The townspeople eagerly lined up, eagerly awaiting the start of the market, ready to participate in crowd-based tasks. They knew that the first ones to arrive would have the first pick of the fresh fruits, vegetables, and handmade crafts that were on offer. Each week, the tiny town came alive with excitement of getting the products with better quality as soon as possible.","There once was a Wi-Fi firmware engineer who became too sick to work anymore.  Out of desperation, he became a crowdsourced micro worker even though he knew he will earn fifty to one hundred times less than his old job.  Six months later,  he was overjoyed when he finally earned twenty dollars in a day for the first time.  This meant he could finally feed his family from his earnings instead of burning up his dwindling savings.",low,near,1
796,A picture paints a thousand words,"A man wanted to start his job at a company where his friends used to work as well. They were telling him about all the bad thing about the company and the not so condusive environment they were working in, but he wasn't believing them since he thought they are only trying to take over his job. When he started the job, he saw all the descriptions with his own eyes and it was actually real.","John, a hardworking and dedicated father, worked tirelessly at his job as a supervisor in a small printing company. His sole motivation was to support and provide happiness for his family. Every day, he would go to work with a smile on his face, knowing that the long hours and late nights were worth it when he saw the joy on his children's faces. As he looked at a picture of his family on his desk, he realized that their happiness was worth more than any material success could ever be.","He was a natural night owl and preferred to get in as many hours sleep as he could, but his new job demanded that he start at seven in the morning! Although he grumbled, he needed the money and so continued with the job. Within three months he was promoted and given a generous payrise. His employer also paid for him to go on an educational course and provided health insurance.",high,near,1
797,For everything there is a season,The little girl was so excited to be given the packet of seeds and rushed straight out to plant them in her garden. She waited patiently for them to sprout but after a few weeks there was still no sign. When she told her dad what she had done she was dismayed to learn that planting sunflowers in the middle of winter was not going to work.,"Sarah was so sad that the food she wanted to prepare and eat didn't have its main ingredient all ready because it was in the winter time. However, in her yard, she diligently sowed seeds in her garden, nurturing them with care and attention. Her father, a skilled gardener himself, was her guiding agent, passing on his knowledge and expertise with pride. As kin, they worked together, creating a bountiful harvest that brought joy and nourishment to their family.","He had grumbled and complained when his dad told him that he expected help in the garden that day. The first hour that he was out there, he dawdled and did as little as he could get away with. He cheered up when his dad came out with hotdogs and cola, however. That afternoon, being well fed, he worked very hard and felt satisfied with his work.",high,near,1
798,He who pays the piper calls the tune,"At a restaurant, a customer ordered a steak dish to be prepared well-done. The chef, in their experience, knew the steak would be unsuited to the customer's request. As the chef was only employed to prepare food and satisfy customers, the chef acquiesced to the customer's demands.","This year, Mrs Smith has kindly offered to pay for flowers to decorate the hall for the charity ball. Even though we do have our ideas on how to decorate the hall and what flowers to use, it will be right to ask her if she has any preferences for any particular flowers.","She stopped in the doorway of the restaurant. She debated if she should even go on the date. The last date she had was a mess and did not end well. The thought lingers in her head, causing her fear of rejection to soar. Her sister had told her to give dating another shot. She entered the restaurant with doubt, frustrated that the previous guy had now made her leery of trusting another man.",low,far,1
799,All good things must come to an end,"Her favorite class was Intro to Creative Writing, where she made a tight group of friends. They were all sad at the end of the semester, but they had to move on so they could complete their degrees and take higher level classes.","Once upon a time, in a small school, a class teacher named Mr. Anderson formed a strong bond with his students, whom he considered his buddies. Together, they embarked on an academic journey, enrolling them in advanced courses to explore their full potential. However, as time passed, the school year came to an end, bringing an end to their precious time together.","She was the artistic type. Throughout her school years, most of the friends she made were in her art classes. Even once they graduated, her and her artist friends would get together on weekends to talk about their work and paint together.",high,near,1
800,Cowards may die many times before their death,"Jane and James are just new to marriage life and Jane is always anxious and afraid of what happened in their future or life's ahead of them. James told Jane to relax and trust in the Lord and let it be. He told Jane to don't worry about something before it has happened, just relax and don't be panic.","Ive had a past due bill for 3 months. I had decided to wait till they send me to collections, then deal with it. My girlfriend, who is smarter then me, suggested I call the company any try and work something out. I was hesitant. After taking her advice, I avoided collections, made arrangements for very affordable monthly payments, and all are happy, and I dont obsess over it anymore.","Jenny is person that worries to much if her things or project will not done on time. But Jucy is different she tries her best to do but she needs to do either she finish or not. She doesn't even worry if things get done or not because she believes that if she doesn't not have time to finish today there will a time to finish it tomorrow or another day. Jucy believes that there is always reason behind why not things get done the way we should wanted to be but sometime for whatever reason, it can't, so let it be.",low,far,1
801,Don't wash your dirty linen in public,Rita was extremely angry with her husband and started arguing with him in the restaurant. She forgot where she was and brought up her husband's past affairs and was screaming about how unfaithful he was. The other people around felt uncomfortable and slowly sat away from them.,"At a bustling eatery in the heart of the city, a group of diners sat engrossed in their conversations. Unbeknownst to them, their words carried weight beyond the confines of their table. Rumors and secrets spread like wildfire, as their personal dramas unfolded in the public eye. In the end, they learned the hard way what they were not supposed to do.","Several people have reported being unhappy with the service and quality of food at a certain restaurant. All of them left feeling like they'd been ripped off. Only one complained directly to the manager, and this one got a full refund.",low,near,1
802,A friend in need is a friend indeed,"When Billy lost his job, he contacted many of his friends for leads to knew jobs and temporary financial assistance. Most of them avoided him and switched off the phone. Only his closest friend, John, stepped up and offered his place to slay as he looked for a new job. Billy made note of this and cut contact with the rest of his so called friends.","The man was friends with some folks that began to go down the wrong path. These friends became thieves, robbers, scammers and drug addicts. The man was too loyal to cut off ties. His neighbors began to look down on him as a criminal because his friends would come over to hang out with him, and then neighbors' things would go missing or vandalized.","During his relentless job hunting, Mark found himself in a tough spot, struggling to find affordable accommodation in the city. Understanding his best friend's predicament, Jack, who worked as a real estate agent, stepped in and offered to provide temporary accommodation at his own place. Grateful for his friend's help, Mark continued his job search with renewed hope, knowing the value of his friends' deed. ",high,near,2
803,There's no such thing as a free lunch,"A man saw that a really good parking space was unoccupied along with great spaces near it. He was curious if parking was allowed there. He read the signs around but could find no restrictions. The man parked there feeling safe that he would not be ticketed, but then it turned out that the parking was owned by a company and his car was later towed. ","Stella whipped the car into the parking spot so fast it took Charlie's breath away and also had a small accident. Still holding on tight Charlie could barely get out the words to tell her she hit the car in the next spot over. She told her it's not important that it's only a small accident, and it shows that she's not a good driver.","Erin was eager to visit her family in another state, but she did not have enough spare money for a plane ticket. Her aunt Sally offered to pay for the flight on the condition that Erin stay at her house during the visit, rather than at her other aunt's house. Erin went along with the plan, but ended up getting very frustrated throughout the trip because Aunt Sally expected her to spend all her time with her, and expected her to do chores, leaving little time for Erin to visit the others and enjoy her trip.",low,far,2
804,Don't keep a dog and bark yourself,"An old man found a lost dog in the woods.  Needing a guard dog for his shop, he feed and cared for the dog.  As the dog grew stronger, the old man would keep him by his side for protection.  One day, when a thief broke into his shop, the old man went out to confront the thief, but kept the dog in the room so it wouldn't get hurt.","Jane used to organize crimes and robberies all around the clock with some friends, all wearing facemasks. however, each time they were out doing their work, he used to do the job himself and rob banks by his own.","He had been stealing for years now. Today's haul had been particularly good and he had left the supermarket with various hidden pockets bulging with luxury foodstuffs. He had even managed to get a whole cooked chicken! As he swiftly left the supermarket grounds, he saw his old pal from jail lying on a bench, covered in newspapers. He looked hungry and defeated. Going over to him, he put the chicken gently beside him and blended into the night.",high,far,1
805,A house divided against itself cannot stand,Many countries refused to believe the earth was getting warmer.  They didn't want to dampen their industrial output by reducing greenhouse gas emissions.  But the sea levels kept rising year after year due to melting polar ice caps.  Finally all countries signed an agreement all try to reduce their greenhouse gas emissions to reduce the global warming.,"For years scientists said there could be no vaccine for the common cold, which is a virus.  Millions of people suffer from colds each year, and no vaccine was ever introduced.  Surprising, a vaccine was relatively quickly found for COVID, which is a virus.  Amazing what can be done with a bit of research and effort.","The West School's volleyball team was undefeated. The players always worked together to score points and win. The East School's volleyball team was the worst in the country. Their players would frequently sabotage each other by hogging the ball, yelling at one another and generally causing their team to lose.",low,far,2
806,Discretion is the better part of valour,"A customer was shopping at his local convenience store when a burglar came in and robbed the place. He thought about confronting the robber but wasn't sure if he was armed. On the other hand, the cashier stepped up and confronted the robber but he was shot. the customer managed the situation with wasting some time and this way the robber was captured and the man saved his own life. ","In the peaceful town of Ease, a client hires a team of skilled agents to guarantee his individual security from an elusive culprit. Through meticulous planning and strategic actions, the agents diligently work towards capturing the culprit and restoring peace to the town by waiting for the culprit to do their next move and fall in trap that was set up for them. The agents didn't do what the other agents were doing for a long time which was keep searching for the culprit proactively. In the end, their passive approach proves to be better, as they successfully apprehend the culprit without compromising the safety of the client or the residents of Ease.","The man had been in and out of prison. One day, he walked out of a store after not being able to find an item he was looking for. He was accused of theft and had the police called on him. The man knew his rights and never incriminated himself and was let go for lack of evidence.",high,near,1
807,Beauty is in the eye of the beholder,"Many people fawned over the latest celebrity, claiming how beautiful she was. But John didn't think she was anything special.","Michael was sick and tired of his jacket. He got it as a gift and never much liked it. One day, he was ready to just throw it in the trash when a friend walked by and asked why he was throwing it away. It's ugly, Michael said. What? No way said his friend. I love it. Pay you $30 for it? Michael agreed to the deal and his friend walked away for something he loved that was almost headed for the trash heap.","A dog had lived a fun life as a puppy. He had made some great doggy friends and had spent most of his days rolling around in mud. As he got older, precisely, as he became 8 years old, he began to wonder to himself if the best times of his life were behind him. When he turned 10 however, he realised how great life could be for a older, cared for dog. He got more treats than ever before! and could be as lazy as he wanted.",low,far,1
